Date,Consensus,DeltaConsensus
10/19/2012,370,-18
10/26/2012,370,1
11/2/2012,365,2
11/9/2012,375,20
11/16/2012,410,-29
11/23/2012,390,-20
11/30/2012,380,-13
12/7/2012,369,-1
12/14/2012,360,17
12/21/2012,360,-1
12/28/2012,360,10
1/4/2013,365,-7
1/11/2013,369,-2
1/18/2013,355,20
1/25/2013,350,20
2/1/2013,360,-8
2/8/2013,360,-6
2/15/2013,355,14
2/22/2013,360,-2
3/1/2013,355,11
3/8/2013,350,10
3/15/2013,340,8
3/22/2013,340,4
3/29/2013,353,-4
4/5/2013,360,-25
4/12/2013,350,4
4/19/2013,350,-2
4/26/2013,345,6
5/3/2013,335,11
5/10/2013,330,7
5/17/2013,345,-15
5/24/2013,340,0
5/31/2013,345,-9
6/7/2013,346,0
6/14/2013,340,6
6/21/2013,345,-9
6/28/2013,345,-1
7/5/2013,340,-3
7/12/2013,345,-15
7/19/2013,340,6
7/26/2013,345,2
8/2/2013,335,9
8/9/2013,335,2
8/16/2013,330,10
8/23/2013,331.8,-4.2
8/30/2013,330,-1
9/6/2013,330,7
9/13/2013,330,38
9/20/2013,325,16
9/27/2013,315,10
10/4/2013,311,3
10/11/2013,335,-39
10/18/2013,340,-18
10/25/2013,338,-12
11/1/2013,335,-5
11/8/2013,330,-6
11/15/2013,335,-4
11/22/2013,330,7
11/29/2013,320,4
12/6/2013,320,22
12/13/2013,335.5,-32.5
12/20/2013,345,-34
12/27/2013,343.5,5.5
1/3/2014,335,-4
1/10/2014,328,-2
1/17/2014,330,4
1/24/2014,330,4
1/31/2014,335,-13
2/7/2014,330,-1
2/14/2014,335,-4
2/21/2014,335,-1
2/28/2014,336,-12
3/7/2014,330,7
3/14/2014,322,7
3/21/2014,323,3
3/28/2014,318.5,7.5
4/4/2014,320,-6
4/11/2014,315,15
4/18/2014,315,11
4/25/2014,320,-9
5/2/2014,325,-19
5/9/2014,320,1
5/16/2014,310,13
5/23/2014,318,-8
5/30/2014,310,10
6/6/2014,310,-2
6/13/2014,313,-4
6/20/2014,310,-2
6/27/2014,312.5,0.5
7/4/2014,315,0
7/11/2014,310,6
7/18/2014,306.5,4.5
7/25/2014,300,16
8/1/2014,304,2
8/8/2014,295,6
8/15/2014,303,-8
8/22/2014,300,2
8/29/2014,300,2
9/5/2014,300,-2
9/12/2014,305,-10
9/19/2014,300,20
9/26/2014,298,5
10/3/2014,294,7
10/10/2014,290,3
10/17/2014,280.5,16.5
10/24/2014,282,-1
10/31/2014,285,-2
11/7/2014,280,2
11/14/2014,285,-5
